time,open,high,low,close,volume
1780660800,4471.8,4472.7,4466.7,4470.4,29.1988
1780661700,4470.3,4476.6,4464,4467,24.4684
1780662600,4467.9,4467.9,4441.2,4447.1,382.3547
1780663500,4446.6,4450,4408,4408,526.8416
1780664400,4408.1,4421.8,4400.3,4421,747.128
1780665300,4420.9,4422,4407.3,4407.4,369.5797
1780666200,4407.9,4411.9,4389.6,4391.3,697.3218
1780667100,4392.4,4392.7,4368.7,4368.8,761.1648
1780668000,4368.7,4381.4,4367.7,4369.4,793.0184
1780668900,4368.9,4373.4,4353.9,4362.4,987.4656
1780669800,4362.5,4365,4347.5,4350.5,365.574
1780670700,4352.1,4373.2,4352.1,4372.9,472.2481
1780671600,4372.9,4374.9,4357.5,4357.5,309.6602
1780672500,4355.7,4358.6,4350.9,4355.3,159.7538
1780673400,4356.1,4357.4,4337.5,4340.5,282.3522
1780674300,4340.4,4343.5,4335.8,4337,331.3236
1780675200,4336.9,4340.9,4332.1,4337.4,395.4575
1780676100,4337.2,4337.2,4329.1,4333.2,278.263
1780677000,4333.1,4334.7,4327.9,4330.6,122.2962
1780677900,4330.7,4347.4,4328.8,4347.4,111.9233
1780678800,4347.5,4349.3,4339.7,4341.4,64.1875
1780679700,4341.7,4344.5,4339.1,4344.5,149.4505
1780680600,4344.4,4349.8,4341.6,4343.8,33.9673
1780681500,4343.9,4345.7,4340.8,4344,65.8088
1780682400,4344.2,4344.3,4325.8,4325.8,207.8145
1780683300,4325.8,4331,4324.9,4327.6,97.943
1780684200,4327.6,4328.3,4317.1,4319,112.5447
1780685100,4320,4327,4317.2,4325.1,234.6441
1780686000,4324.2,4324.8,4317,4318.3,130.4696
1780686900,4316.9,4325.7,4315.5,4324.8,229.8281
1780687800,4326.1,4326.6,4316.4,4321,54.8908
1780688700,4320.2,4325.6,4320.2,4320.7,77.5548
1780689600,4321.4,4321.4,4315.4,4319.4,47.4315
1780690500,4319,4328.4,4317.3,4326,96.0478
1780691400,4326,4327.8,4323.7,4326.6,76.2744
1780692300,4326.5,4333.1,4326.4,4332.6,124.5773
1780693200,4332.6,4334.6,4329.8,4332.6,427.3656
1780694100,4332.7,4334.9,4332.3,4334.9,21.0806
1780695000,4334.8,4337.9,4334.8,4337.1,41.9703
1780695900,4337.2,4337.6,4337,4337.6,3.6739
1780696800,4337.5,4339.2,4335.7,4335.7,68.4007
1780697700,4335.7,4335.7,4334.3,4334.8,15.7633
1780698600,4334.9,4335.2,4332.1,4332.2,20.3022
1780699500,4332.1,4332.1,4329.1,4329.1,26.2859
1780700400,4329.8,4331.1,4328.2,4329.6,9.1611
1780701300,4329.6,4329.6,4325.4,4325.4,13.1317
1780702200,4325.3,4326.3,4325,4326,18.162
1780703100,4326.9,4327.2,4324.6,4325.8,31.0205
1780704000,4325.8,4332,4325.8,4331.9,17.6961
1780704900,4331.8,4333.6,4329.8,4332.6,14.3368
1780705800,4333.1,4336.8,4332.7,4333.6,18.787
1780706700,4333.5,4335.7,4333.2,4335.6,6.609
1780707600,4335.5,4336.1,4330.8,4330.9,12.2539
1780708500,4330.9,4332.3,4330,4331.8,7.4902
1780709400,4331.8,4331.8,4330,4330.7,12.0647
